property,scene,video,match,label,path,frames,format,start_priming_1,end_priming_1,start_priming_2,end_priming_2
continuity,center,0,0,1,continuity/center__continuity__darkbluecup__blueclover__vv__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,0,0,continuity/center__continuity__darkbluecup__blueclover__vi__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,1,1,continuity/center__continuity__darkbluecup__blueclover__vv__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,1,0,continuity/center__continuity__darkbluecup__blueclover__vi__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,2,1,continuity/center__continuity__darkbluecup__blueclover__ii__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,2,0,continuity/center__continuity__darkbluecup__blueclover__iv__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,3,1,continuity/center__continuity__darkbluecup__blueclover__ii__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,3,0,continuity/center__continuity__darkbluecup__blueclover__iv__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,4,1,continuity/center__continuity__darkbluecup__blueoval__vv__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,4,0,continuity/center__continuity__darkbluecup__blueoval__vi__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,5,1,continuity/center__continuity__darkbluecup__blueoval__vv__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,5,0,continuity/center__continuity__darkbluecup__blueoval__vi__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,6,1,continuity/center__continuity__darkbluecup__blueoval__ii__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,6,0,continuity/center__continuity__darkbluecup__blueoval__iv__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,7,1,continuity/center__continuity__darkbluecup__blueoval__ii__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,7,0,continuity/center__continuity__darkbluecup__blueoval__iv__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,8,1,continuity/center__continuity__darkbluecup__bluestar__vv__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,8,0,continuity/center__continuity__darkbluecup__bluestar__vi__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,9,1,continuity/center__continuity__darkbluecup__bluestar__vv__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,9,0,continuity/center__continuity__darkbluecup__bluestar__vi__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,10,1,continuity/center__continuity__darkbluecup__bluestar__ii__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,10,0,continuity/center__continuity__darkbluecup__bluestar__iv__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,11,1,continuity/center__continuity__darkbluecup__bluestar__ii__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,11,0,continuity/center__continuity__darkbluecup__bluestar__iv__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,12,1,continuity/center__continuity__darkbluecup__duck__vv__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,12,0,continuity/center__continuity__darkbluecup__duck__vi__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,13,1,continuity/center__continuity__darkbluecup__duck__vv__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,13,0,continuity/center__continuity__darkbluecup__duck__vi__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,14,1,continuity/center__continuity__darkbluecup__duck__ii__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,14,0,continuity/center__continuity__darkbluecup__duck__iv__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,15,1,continuity/center__continuity__darkbluecup__duck__ii__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,15,0,continuity/center__continuity__darkbluecup__duck__iv__RL.mp4,630,mp4,150,164,315,329
continuity,center,0,16,1,continuity/center__continuity__darkbluecup__egg__vv__LR.mp4,630,mp4,150,164,315,329
continuity,center,1,16,0,continuity/center__continuity__darkbluecup__egg__vi__LR.mp4,630,mp4,150,164,315,329
continuity,center,0,17,1,continuity/center__continuity__darkbluecup__egg__vv__RL.mp4,630,mp4,150,164,315,329
continuity,center,1,17,0,continuity/center__continuity__darkbluecup__egg__vi__RL.mp4,630,mp4,150,164,315,329
